x,y,z,red,green,blue
134938.941,521768.038,-37.411,,,
134939.018,521766.552,-37.407,,,
134938.648,521766.319,-37.4,,,
134937.183,521766.906,-37.413,,,
134938.234,521766.029,-37.409,,,
134938.28,521766.224,-37.42,,,
134937.629,521767.013,-37.415,,,
134937.548,521767.131,-37.412,,,
134937.742,521767.087,-37.412,,,
134938.53,521766.373,-37.395,,,
134938.73,521766.338,-37.412,,,
134938.655,521766.448,-37.382,,,
134939.095,521766.563,-37.411,,,
134938.795,521767.052,-37.405,,,
134938.719,521767.177,-37.392,,,
134939.078,521767.409,-37.409,,,
134939.017,521767.524,-37.414,,,
134938.779,521767.899,-37.412,,,
134938.897,521767.98,-37.409,,,
134937.408,521766.873,-37.419,,,
134938.124,521766.287,-37.443,,,
134937.893,521766.657,-37.45,,,
134938.01,521766.737,-37.429,,,
134937.779,521767.106,-37.427,,,
134938.257,521766.882,-37.44,,,
134938.444,521766.843,-37.441,,,
134938.375,521766.963,-37.428,,,
134938.151,521767.341,-37.452,,,
134939.001,521766.499,-37.421,,,
134938.972,521766.82,-37.447,,,
134938.515,521767.567,-37.451,,,
134937.941,521768.218,-37.45,,,
134938.134,521768.173,-37.433,,,
134939.184,521767.31,-37.446,,,
134939.667,521767.092,-37.45,,,
134938.936,521767.986,-37.424,,,
134939.788,521767.161,-37.447,,,
134938.392,521766.117,-37.429,,,
134938.612,521767.125,-37.429,,,
134938.637,521766.274,-37.431,,,
134937.604,521766.486,-37.434,,,
134938.162,521766.142,-37.423,,,
134937.857,521766.639,-37.454,,,
134938.209,521766.339,-37.462,,,
134937.974,521766.719,-37.432,,,
134938.831,521765.886,-37.428,,,
134938.733,521766.326,-37.422,,,
134938.42,521766.827,-37.443,,,
134938.344,521766.952,-37.43,,,
134938.47,521767.028,-37.435,,,
134938.978,521766.483,-37.433,,,
134938.89,521766.607,-37.43,,,
134938.948,521766.804,-37.449,,,
134938.484,521767.556,-37.453,,,
134938.103,521768.162,-37.426,,,
134939.162,521767.28,-37.44,,,
134939.212,521767.481,-37.424,,,
134937.248,521766.857,-37.412,,,
134937.365,521766.936,-37.39,,,
134938.305,521765.987,-37.416,,,
134938.224,521766.105,-37.413,,,
134938.35,521766.181,-37.418,,,
134938.531,521766.465,-37.406,,,
134938.719,521766.412,-37.39,,,
134938.107,521767.404,-37.414,,,
134938.033,521767.516,-37.411,,,
134938.964,521766.57,-37.4,,,
134939.084,521766.639,-37.407,,,
134939.017,521766.76,-37.412,,,
134938.479,521767.624,-37.413,,,
134939.079,521767.486,-37.395,,,
134938.893,521768.05,-37.403999999999996,,,
134937.664,521766.476,-37.44,,,
134938.134,521766.256,-37.436,,,
134937.903,521766.626,-37.443,,,
134937.676,521767.001,-37.422,,,
134938.029,521766.701,-37.439,,,
134938.273,521766.859,-37.441,,,
134938.391,521766.939,-37.428,,,
134939.143,521766.551,-37.427,,,
134938.993,521766.803,-37.428,,,
134937.957,521768.194,-37.442,,,
134938.381,521767.78,-37.426,,,
134938.151,521768.15,-37.442,,,
134939.007,521767.316,-37.42,,,
134938.402,521768.301,-37.435,,,
134938.331,521768.433,-37.421,,,
134937.458,521767.073,-37.403,,,
134938.309,521766.247,-37.416,,,
134937.696,521766.338,-37.447,,,
134938.178,521766.119,-37.424,,,
134937.201,521766.87,-37.414,,,
134938.224,521766.314,-37.444,,,
134937.88,521766.61,-37.454,,,
134937.645,521766.99,-37.424,,,
134937.49,521767.234,-37.426,,,
134938.245,521766.836,-37.453,,,
134938.303,521766.194,-37.411,,,
134938.495,521766.986,-37.437,,,
134937.765,521767.058,-37.412,,,
134938.963,521766.779,-37.423,,,
134938.352,521767.756,-37.43,,,
134938.121,521768.126,-37.437,,,
134938.046,521768.252,-37.442,,,
134938.476,521767.845,-37.434,,,
134939.172,521767.263,-37.459,,,
134938.411,521768.478,-37.45,,,
134938.96,521768.153,-37.448,,,
134939.168,521768.097,-37.439,,,
134938.062,521767.404,-37.416,,,
134938.925,521766.578,-37.411,,,
134938.811,521767.029,-37.406,,,
134938.432,521767.637,-37.415,,,
134939.032,521767.499,-37.397,,,
134938.72,521767.987,-37.392,,,
134939.141,521767.567,-37.413,,,
134939.228,521767.458,-37.433,,,
134938.906,521766.792,-37.462,,,
134938.134,521766.315,-37.45,,,
134937.991,521766.561,-37.46,,,
134938.112,521766.63,-37.466,,,
134938.162,521766.832,-37.467,,,
134937.839,521768.173,-37.469,,,
134939.105,521767.234,-37.456,,,
134938.201,521766.089,-37.416,,,
134938.326,521766.165,-37.412,,,
134937.514,521767.191,-37.41,,,
134937.707,521767.147,-37.41,,,
134938.623,521766.51,-37.407,,,
134937.571,521767.911,-37.403,,,
134938.935,521766.548,-37.413,,,
134939.06,521766.623,-37.4,,,
134939.043,521767.468,-37.398,,,
134938.307,521768.371,-37.418,,,
134938.239,521768.492,-37.423,,,
134938.744,521767.958,-37.400999999999996,,,
134937.844,521766.593,-37.457,,,
134938.045,521766.543,-37.458,,,
134938.57,521766.321,-37.405,,,
134938.546,521766.35,-37.395,,,
134938.258,521766.0,-37.409,,,
134937.233,521767.016,-37.411,,,
134937.347,521766.838,-37.407,,,
134938.256,521766.207,-37.413,,,
